Classifier;FeatureSelector;NumFeature;TrainingAccuracy;ValidationAccuracy;TestAccuracy
gaussian_naive_bayes;no_reduction;0;0.6204;0.6143;0.6154
gaussian_naive_bayes;pca;5;0.6567;0.6577;0.6503
gaussian_naive_bayes;pca;10;0.7066;0.7028;0.7004
gaussian_naive_bayes;pca;15;0.7312;0.7258;0.721
gaussian_naive_bayes;pca;20;0.7474;0.7531;0.738
gaussian_naive_bayes;pca;25;0.7586;0.7631;0.7481
gaussian_naive_bayes;pca;30;0.771;0.7679;0.7584
gaussian_naive_bayes;pca;35;0.7744;0.7764;0.7608
gaussian_naive_bayes;pca;40;0.7773;0.7756;0.7618
gaussian_naive_bayes;pca;45;0.7774;0.7816;0.763
gaussian_naive_bayes;pca;50;0.7797;0.7808;0.7676
gaussian_naive_bayes;pca;55;0.7802;0.7825;0.7682
gaussian_naive_bayes;pca;60;0.7809;0.7788;0.7661
gaussian_naive_bayes;pca;65;0.7791;0.7767;0.7682
gaussian_naive_bayes;pca;70;0.7788;0.7742;0.7653
gaussian_naive_bayes;pca;75;0.7776;0.7757;0.7617
gaussian_naive_bayes;pca;80;0.7754;0.7728;0.7615
gaussian_naive_bayes;pca;85;0.7753;0.7781;0.7649
gaussian_naive_bayes;pca;90;0.7719;0.771;0.7589
gaussian_naive_bayes;pca;95;0.7673;0.7744;0.7564
gaussian_naive_bayes;pca;100;0.7684;0.7682;0.7552
gaussian_naive_bayes;pca;105;0.7684;0.7766;0.7571
gaussian_naive_bayes;pca;110;0.7665;0.7685;0.7554
gaussian_naive_bayes;pca;115;0.7656;0.7704;0.7557
gaussian_naive_bayes;pca;120;0.7684;0.7673;0.7531
gaussian_naive_bayes;pca;125;0.7644;0.7642;0.7523
gaussian_naive_bayes;pca;130;0.7637;0.7619;0.7522
gaussian_naive_bayes;pca;135;0.765;0.7593;0.7492
gaussian_naive_bayes;pca;140;0.7642;0.761;0.7503
gaussian_naive_bayes;pca;145;0.7612;0.7614;0.7482
gaussian_naive_bayes;pca;150;0.7596;0.7548;0.7457
gaussian_naive_bayes;pca;155;0.7574;0.7611;0.7465
gaussian_naive_bayes;pca;160;0.7587;0.7501;0.7437
gaussian_naive_bayes;pca;165;0.7569;0.759;0.7428
gaussian_naive_bayes;pca;170;0.7564;0.754;0.7411
gaussian_naive_bayes;pca;175;0.753;0.7525;0.7389
gaussian_naive_bayes;pca;180;0.7523;0.7502;0.7388
gaussian_naive_bayes;pca;185;0.7505;0.7488;0.7357
gaussian_naive_bayes;pca;190;0.7477;0.7432;0.735
gaussian_naive_bayes;pca;195;0.7469;0.7488;0.7348
