NumFeature;TrainingAccuracy;ValidationAccuracy
5;0.6572;0.656
10;0.706;0.7067
15;0.7293;0.7284
20;0.7498;0.7514
25;0.7605;0.7618
30;0.7721;0.772
35;0.7751;0.775
40;0.7766;0.7748
45;0.7786;0.7771
50;0.7785;0.7822
55;0.7807;0.7776
60;0.7795;0.7779
65;0.779;0.7787
70;0.7777;0.7751
75;0.7759;0.7769
80;0.7753;0.7773
85;0.7746;0.7739
90;0.7724;0.7685
95;0.772;0.7693
100;0.7699;0.7708
105;0.7689;0.7691
110;0.7683;0.768
115;0.7671;0.7622
120;0.7655;0.7652
125;0.7656;0.7644
130;0.7643;0.7647
135;0.7641;0.7621
140;0.7613;0.7637
145;0.7616;0.7571
150;0.7611;0.7584
155;0.7593;0.7556
160;0.7584;0.7545
165;0.7563;0.754
170;0.7556;0.7553
175;0.7527;0.753
180;0.7519;0.7496
185;0.7504;0.7485
190;0.7488;0.7466
195;0.7472;0.745
200;0.7469;0.7411
205;0.7439;0.7431
210;0.7428;0.7396
215;0.7413;0.7395
220;0.7392;0.7357
225;0.7375;0.7319
230;0.7338;0.7291
235;0.7319;0.7261
240;0.7292;0.7261
245;0.7272;0.7246
250;0.7244;0.7211
255;0.7218;0.7192
260;0.7193;0.7125
265;0.7149;0.7144
270;0.7111;0.7077
275;0.7099;0.7063
280;0.7051;0.7013
285;0.7035;0.702
290;0.6999;0.6975
295;0.6987;0.6974
300;0.6942;0.693
305;0.6903;0.6857
310;0.689;0.6851
315;0.6851;0.6822
320;0.6824;0.6789
325;0.6792;0.678
330;0.6761;0.6724
335;0.6734;0.6685
340;0.6726;0.6677
345;0.6683;0.6665
350;0.6664;0.6633
355;0.6628;0.6627
360;0.6601;0.6551
365;0.6571;0.655
370;0.6558;0.653
375;0.6515;0.6521
380;0.6498;0.6487
385;0.6458;0.6431
390;0.644;0.6442
395;0.6401;0.6386
400;0.6391;0.6352
405;0.6367;0.6357
410;0.6327;0.6314
415;0.631;0.6303
420;0.6278;0.6236
425;0.6266;0.6239
430;0.6234;0.6208
435;0.6221;0.6214
440;0.6179;0.6157
445;0.6163;0.6073
450;0.6131;0.6126
455;0.6115;0.6067
460;0.6095;0.6068
465;0.6073;0.6028
470;0.6032;0.5978
475;0.6;0.5972
480;0.5983;0.5929
485;0.5945;0.592
490;0.5941;0.589
495;0.5914;0.5851
500;0.5877;0.5868
505;0.5848;0.5799
510;0.5828;0.5806
515;0.5806;0.5771
520;0.5751;0.5717
525;0.5739;0.5682
530;0.5731;0.5688
535;0.5692;0.5659
540;0.5669;0.5635
545;0.5642;0.5599
550;0.5632;0.557
555;0.5583;0.5533
560;0.5562;0.5521
565;0.5554;0.5512
570;0.552;0.5479
575;0.5487;0.545
580;0.5457;0.544
585;0.5462;0.5433
590;0.5435;0.539
595;0.5418;0.5418
600;0.5375;0.5342
605;0.5366;0.5305
610;0.5323;0.5255
615;0.5323;0.5315
620;0.5298;0.5252
625;0.5292;0.5201
630;0.5274;0.5222
635;0.5276;0.5216
640;0.523;0.5192
645;0.5211;0.5176
650;0.5191;0.5157
655;0.517;0.5146
660;0.5159;0.5145
665;0.5141;0.5127
670;0.5137;0.5095
675;0.5133;0.5082
680;0.5093;0.5094
685;0.5105;0.5052
690;0.5088;0.5052
695;0.5058;0.5035
700;0.5054;0.4992
705;0.5065;0.4998
710;0.5041;0.5044
715;0.5064;0.5037
720;0.5079;0.5015
725;0.5069;0.5052
730;0.5082;0.503
735;0.5065;0.5035
740;0.5086;0.5086
745;0.5117;0.5071
750;0.5077;0.5017
755;0.5059;0.5029
760;0.5002;0.4985
765;0.4956;0.494
770;0.4924;0.4918
775;0.4848;0.4827
780;0.4794;0.4774
50;test;0.767
