NumFeature;TrainingAccuracy;ValidationAccuracy
10;0.8083;0.806
20;0.8548;0.8566
30;0.8604;0.8587
40;0.8646;0.8639
50;0.8692;0.8685
60;0.8702;0.8703
70;0.8693;0.8704
80;0.8705;0.8671
90;0.8686;0.8695
100;0.8683;0.8674
110;0.8662;0.8658
120;0.8645;0.864
130;0.8622;0.8635
140;0.8601;0.8604
150;0.8573;0.8583
160;0.8557;0.8561
170;0.8523;0.8531
180;0.8507;0.8517
190;0.8471;0.8496
200;0.8454;0.8446
210;0.8416;0.8457
220;0.8395;0.8399
230;0.8364;0.8353
240;0.8326;0.8341
250;0.8307;0.8291
260;0.827;0.8287
270;0.8246;0.8227
280;0.8209;0.8192
290;0.8183;0.8169
300;0.8157;0.8129
310;0.8107;0.8116
320;0.808;0.8081
330;0.806;0.805
340;0.8019;0.8033
350;0.7996;0.7976
360;0.7965;0.7973
370;0.7932;0.7945
380;0.7893;0.7914
390;0.7874;0.7875
400;0.7861;0.7821
410;0.7815;0.7807
420;0.7789;0.7793
430;0.776;0.7762
440;0.7738;0.7726
450;0.7719;0.7689
460;0.7678;0.7648
470;0.7657;0.762
480;0.7635;0.7639
490;0.761;0.7601
500;0.7578;0.7563
510;0.7553;0.7543
520;0.7531;0.7519
530;0.7505;0.7464
540;0.7478;0.747
550;0.7449;0.7448
560;0.743;0.7423
570;0.7405;0.7365
580;0.7382;0.7379
590;0.7378;0.735
600;0.7342;0.7303
610;0.7317;0.7296
620;0.7298;0.7278
630;0.7257;0.7229
640;0.7248;0.7228
650;0.7234;0.7181
660;0.7201;0.711
670;0.7178;0.714
680;0.7172;0.709
690;0.7136;0.7076
700;0.7126;0.7059
710;0.7086;0.7025
720;0.7068;0.6987
730;0.7029;0.6964
740;0.7016;0.6972
750;0.6977;0.6901
760;0.6963;0.6935
770;0.6965;0.6928
780;0.6917;0.6858
790;0.6889;0.6846
800;0.6854;0.6755
810;0.6802;0.6736
820;0.68;0.6724
830;0.6771;0.6682
840;0.6734;0.6691
850;0.6722;0.6647
860;0.6697;0.6665
870;0.6676;0.6606
880;0.6622;0.6568
890;0.6642;0.6573
900;0.6576;0.6487
910;0.6519;0.6488
920;0.6511;0.6464
930;0.6495;0.6472
940;0.6462;0.6403
950;0.6471;0.6403
960;0.6447;0.6404
970;0.6532;0.6497
980;0.6499;0.6477
990;0.6254;0.6193
1000;0.6192;0.6147
1010;0.62;0.6165
1020;0.6197;0.6176
70;test;0.8556
