NumFeature;TrainingAccuracy;ValidationAccuracy
5;0.6484;0.6438
10;0.7191;0.7189
15;0.7449;0.7432
20;0.7641;0.7643
25;0.7729;0.7736
30;0.7815;0.7819
35;0.7864;0.7855
40;0.7882;0.7896
45;0.7926;0.7912
50;0.7935;0.7947
55;0.7945;0.7972
60;0.7964;0.7947
65;0.7984;0.7974
70;0.8011;0.7956
75;0.8013;0.799
80;0.8034;0.8017
85;0.8037;0.8063
90;0.8056;0.8072
95;0.8071;0.8058
100;0.8082;0.8056
105;0.8098;0.807
110;0.8106;0.8068
115;0.8115;0.8097
120;0.812;0.8119
125;0.8134;0.8091
130;0.8131;0.8141
135;0.8147;0.8105
140;0.8145;0.8155
145;0.8151;0.8132
150;0.8158;0.8158
155;0.8167;0.8121
160;0.8171;0.812
165;0.8167;0.8157
170;0.8176;0.8156
175;0.8176;0.8179
180;0.8184;0.8173
185;0.8185;0.8171
190;0.8188;0.817
195;0.82;0.8152
200;0.8198;0.816
205;0.8196;0.8183
210;0.8207;0.8162
215;0.8209;0.8173
220;0.8213;0.8187
225;0.8209;0.82
230;0.8221;0.8166
235;0.8224;0.8165
240;0.8219;0.8199
245;0.8223;0.8199
250;0.8224;0.8201
255;0.8232;0.8184
260;0.8226;0.8213
265;0.8239;0.8185
270;0.8237;0.8209
275;0.8237;0.8206
280;0.8242;0.8209
285;0.8237;0.8223
290;0.8239;0.8232
295;0.8243;0.8219
300;0.8244;0.8216
305;0.8249;0.8212
310;0.8252;0.8212
315;0.8252;0.8208
320;0.8251;0.8223
325;0.8255;0.8237
330;0.8258;0.8227
335;0.8254;0.8222
340;0.8262;0.8217
345;0.8265;0.8211
350;0.8263;0.8229
355;0.8268;0.8217
360;0.8264;0.8235
365;0.827;0.8227
370;0.8267;0.822
375;0.8267;0.825
380;0.8271;0.8227
385;0.8272;0.8233
390;0.8273;0.8229
395;0.8275;0.823
400;0.8275;0.8245
405;0.8273;0.8242
410;0.8281;0.8228
415;0.8286;0.8214
420;0.8277;0.8235
425;0.8284;0.823
430;0.828;0.824
435;0.8286;0.8237
440;0.8279;0.8253
445;0.8289;0.8219
450;0.8291;0.8203
455;0.8292;0.8231
460;0.8285;0.825
465;0.8294;0.8223
470;0.8298;0.8206
475;0.8292;0.8239
480;0.8295;0.8223
485;0.8289;0.825
490;0.8294;0.824
495;0.8299;0.8235
500;0.8297;0.8232
505;0.8293;0.8254
510;0.8304;0.8212
515;0.8298;0.8249
520;0.8302;0.8238
525;0.8306;0.8235
530;0.8304;0.8218
535;0.8299;0.825
540;0.8309;0.8232
545;0.8313;0.8202
550;0.8307;0.8236
555;0.8307;0.8246
560;0.8309;0.8227
565;0.8313;0.8223
570;0.831;0.8237
575;0.8314;0.8218
580;0.831;0.8246
585;0.8309;0.8233
590;0.8311;0.8244
595;0.8312;0.8244
600;0.8314;0.8228
605;0.8311;0.8242
610;0.8314;0.8232
615;0.8322;0.822
620;0.8328;0.8199
625;0.8318;0.8241
630;0.8321;0.8233
635;0.8324;0.8245
640;0.8321;0.8245
645;0.8322;0.8253
650;0.8321;0.8231
655;0.8322;0.8237
660;0.8323;0.8255
665;0.8328;0.8222
670;0.8331;0.8228
675;0.8327;0.8244
680;0.8328;0.8246
685;0.8331;0.822
690;0.8329;0.8251
695;0.8326;0.8256
700;0.8333;0.8247
705;0.833;0.825
710;0.8334;0.8236
715;0.833;0.8233
720;0.8329;0.8244
725;0.8332;0.825
730;0.8339;0.8225
735;0.8331;0.8249
740;0.8329;0.8253
745;0.8343;0.8223
750;0.8337;0.8233
755;0.8337;0.8236
760;0.8343;0.8219
765;0.8341;0.8215
770;0.8339;0.825
775;0.8341;0.8235
780;0.8339;0.8223
695;test;0.8159
