NumFeature;TrainingAccuracy;ValidationAccuracy
5;0.2868;0.2888
10;0.299;0.3013
15;0.309;0.3122
20;0.3223;0.3208
25;0.3385;0.337
30;0.3407;0.3414
35;0.3458;0.3477
40;0.3463;0.3456
45;0.3412;0.3405
50;0.3481;0.3505
55;0.3484;0.3483
60;0.3485;0.3491
65;0.3508;0.3515
70;0.35;0.3517
75;0.3508;0.3524
80;0.3512;0.3506
85;0.3513;0.3513
90;0.3523;0.3544
95;0.3525;0.3533
100;0.3538;0.3537
105;0.3543;0.3525
110;0.3536;0.3561
115;0.3563;0.3527
120;0.3555;0.356
125;0.3577;0.3561
130;0.3599;0.359
135;0.3601;0.3579
140;0.3616;0.3604
145;0.3625;0.3628
150;0.3621;0.3609
155;0.3632;0.3634
160;0.3631;0.3646
165;0.3637;0.3651
170;0.3645;0.3634
175;0.3646;0.3656
180;0.3652;0.3607
185;0.3661;0.3651
190;0.3675;0.3618
195;0.367;0.3666
200;0.3666;0.3648
205;0.3673;0.3636
210;0.3682;0.3662
215;0.3678;0.3668
220;0.3677;0.3693
225;0.368;0.3674
230;0.3686;0.3696
235;0.3693;0.3693
240;0.3687;0.3698
245;0.3701;0.3684
250;0.37;0.3697
255;0.3707;0.3675
260;0.3707;0.3687
265;0.3716;0.3678
270;0.3722;0.3682
275;0.3711;0.3719
280;0.3713;0.3705
285;0.372;0.3698
290;0.3722;0.3721
295;0.3732;0.3684
300;0.3719;0.3718
305;0.3733;0.369
310;0.3732;0.3692
315;0.3727;0.3726
320;0.3737;0.3716
325;0.3723;0.3718
330;0.3733;0.37
335;0.373;0.3713
340;0.3743;0.3709
345;0.3738;0.3727
350;0.3745;0.366
355;0.3724;0.3721
360;0.3729;0.3719
365;0.3738;0.3709
370;0.3735;0.3752
375;0.3742;0.3723
380;0.3738;0.3707
385;0.3727;0.3722
390;0.373;0.3725
395;0.3742;0.3728
400;0.374;0.3746
405;0.3746;0.3694
410;0.3747;0.3723
415;0.3742;0.373
420;0.3748;0.3734
425;0.3744;0.3705
430;0.3746;0.3738
435;0.3749;0.3716
440;0.3754;0.3724
445;0.3747;0.3739
450;0.3755;0.3696
455;0.3754;0.3735
460;0.3759;0.3722
465;0.3752;0.3749
470;0.3753;0.374
475;0.3752;0.3718
480;0.3746;0.3735
485;0.3741;0.3736
490;0.3748;0.3733
495;0.3752;0.3702
500;0.3761;0.3717
505;0.3759;0.3734
510;0.3753;0.3739
515;0.3751;0.3746
520;0.3752;0.3719
525;0.3762;0.3699
530;0.3761;0.3701
535;0.3754;0.3717
540;0.3753;0.3737
545;0.377;0.3703
550;0.3758;0.3693
555;0.3755;0.3718
560;0.3759;0.3699
565;0.3745;0.3724
570;0.3748;0.3735
575;0.3765;0.3696
580;0.3761;0.3684
585;0.3754;0.3716
590;0.3756;0.3729
595;0.3749;0.3732
600;0.3757;0.3746
605;0.3765;0.3726
610;0.3755;0.3728
615;0.3762;0.377
620;0.376;0.3716
625;0.3767;0.3722
630;0.3754;0.3754
635;0.3765;0.3741
640;0.3779;0.3707
645;0.3753;0.374
650;0.3772;0.3743
655;0.3768;0.3714
660;0.3771;0.3728
665;0.3765;0.374
670;0.3776;0.3725
675;0.3775;0.3733
680;0.3781;0.3714
685;0.3776;0.3734
690;0.3762;0.3724
695;0.3765;0.3736
700;0.3769;0.374
705;0.3768;0.3709
710;0.3777;0.3704
715;0.3772;0.3745
720;0.3765;0.3741
725;0.3777;0.3708
730;0.3773;0.3725
735;0.3784;0.3731
740;0.3768;0.3752
745;0.3768;0.3731
750;0.3773;0.3738
755;0.3768;0.3745
760;0.3779;0.3718
765;0.3773;0.3724
770;0.3766;0.3742
775;0.3776;0.3733
780;0.3771;0.3748
615;test;0.3672
