NumFeature;TrainingAccuracy;ValidationAccuracy
10;0.3465;0.3474
20;0.3895;0.3872
30;0.3961;0.3981
40;0.4129;0.4093
50;0.4171;0.4202
60;0.4261;0.4264
70;0.4286;0.4284
80;0.4429;0.443
90;0.446;0.4492
100;0.4496;0.4455
110;0.4534;0.4514
120;0.4555;0.4501
130;0.4593;0.459
140;0.4586;0.4576
150;0.4594;0.4604
160;0.4627;0.4606
170;0.4643;0.4643
180;0.4673;0.4676
190;0.4685;0.4704
200;0.4691;0.4666
210;0.4708;0.4696
220;0.4731;0.4679
230;0.4732;0.4701
240;0.4742;0.4733
250;0.4752;0.4735
260;0.4764;0.4733
270;0.478;0.472
280;0.4774;0.4764
290;0.4776;0.4766
300;0.4791;0.4769
310;0.4802;0.4756
320;0.4813;0.4793
330;0.4799;0.4789
340;0.4836;0.4818
350;0.484;0.4792
360;0.4815;0.4866
370;0.4841;0.4813
380;0.4837;0.4795
390;0.4854;0.4817
400;0.4856;0.4797
410;0.4855;0.486
420;0.4865;0.4857
430;0.4857;0.4827
440;0.4853;0.4862
450;0.4871;0.4842
460;0.4867;0.4875
470;0.4883;0.4825
480;0.4862;0.4873
490;0.4885;0.4861
500;0.488;0.4838
510;0.4891;0.4877
520;0.4887;0.4879
530;0.4898;0.4828
540;0.4903;0.4884
550;0.4898;0.4851
560;0.4907;0.487
570;0.4913;0.4843
580;0.4919;0.4844
590;0.4897;0.4881
600;0.4917;0.4882
610;0.4917;0.4861
620;0.4924;0.4872
630;0.492;0.4888
640;0.4929;0.4894
650;0.4932;0.4888
660;0.4926;0.4894
670;0.4933;0.4839
680;0.4939;0.4893
690;0.4931;0.4898
700;0.4941;0.4878
710;0.4938;0.4885
720;0.4928;0.4915
730;0.4951;0.4879
740;0.4955;0.4849
750;0.4952;0.4886
760;0.4949;0.491
770;0.4956;0.4873
780;0.4958;0.4877
790;0.4968;0.4879
800;0.4965;0.4914
810;0.4961;0.4892
820;0.4972;0.4845
830;0.4962;0.4897
840;0.4968;0.4897
850;0.4957;0.4929
860;0.4976;0.4879
870;0.498;0.4903
880;0.4969;0.4897
890;0.498;0.4912
900;0.4963;0.4928
910;0.4978;0.4915
920;0.4983;0.4914
930;0.4993;0.4946
940;0.4977;0.491
950;0.4987;0.4866
960;0.498;0.4945
970;0.5002;0.494
980;0.5003;0.4936
990;0.502;0.4918
1000;0.5011;0.4928
1010;0.5003;0.4916
1020;0.5006;0.4932
930;test;0.4771
