NumFeature;TrainingAccuracy;ValidationAccuracy
5;0.6828;0.683
10;0.7369;0.7342
15;0.7798;0.7755
20;0.7962;0.798
25;0.8046;0.8047
30;0.8121;0.8129
35;0.8197;0.8161
40;0.8256;0.8233
45;0.8296;0.8309
50;0.8334;0.8291
55;0.8343;0.8315
60;0.8356;0.8325
65;0.8384;0.835
70;0.8403;0.8374
75;0.8416;0.8406
80;0.843;0.8426
85;0.8448;0.8442
90;0.8461;0.8426
95;0.8469;0.8473
100;0.8482;0.8457
105;0.8491;0.8482
110;0.8502;0.8484
115;0.8517;0.8475
120;0.8528;0.8471
125;0.8533;0.8472
130;0.8537;0.8493
135;0.8541;0.8502
140;0.8553;0.8509
145;0.8546;0.8529
150;0.8559;0.8502
155;0.8561;0.8514
160;0.8571;0.8491
165;0.8573;0.8496
170;0.8576;0.8488
175;0.8578;0.85
180;0.8579;0.852
185;0.8584;0.8501
190;0.8585;0.852
195;0.8584;0.8523
200;0.8592;0.8513
205;0.8591;0.8539
210;0.8601;0.8511
215;0.8604;0.8519
220;0.861;0.8508
225;0.8608;0.853
230;0.8607;0.8522
235;0.861;0.8545
240;0.8608;0.8535
245;0.8614;0.854
250;0.8616;0.8536
255;0.8625;0.8513
260;0.8617;0.8545
265;0.8625;0.8528
270;0.8624;0.8528
275;0.8631;0.8529
280;0.8628;0.8538
285;0.8632;0.8538
290;0.8628;0.8546
295;0.8634;0.8546
300;0.8638;0.854
305;0.8637;0.8538
310;0.8642;0.8532
315;0.8639;0.8567
320;0.8646;0.8533
325;0.8654;0.8509
330;0.8651;0.8537
335;0.8653;0.8529
340;0.8647;0.8542
345;0.8656;0.8533
350;0.8654;0.855
355;0.8657;0.8535
360;0.8653;0.8543
365;0.8655;0.8562
370;0.8657;0.855
375;0.8662;0.8523
380;0.8659;0.855
385;0.8663;0.854
390;0.8664;0.8534
395;0.8669;0.852
400;0.8668;0.8536
405;0.8672;0.8531
410;0.8667;0.8542
415;0.8663;0.8573
420;0.8672;0.855
425;0.8672;0.8534
430;0.8668;0.8556
435;0.8676;0.8549
440;0.8678;0.8521
445;0.8681;0.8509
450;0.8671;0.8543
455;0.867;0.8545
460;0.8683;0.8512
465;0.8682;0.8524
470;0.8684;0.8502
475;0.868;0.8535
480;0.868;0.8545
485;0.868;0.8523
490;0.8681;0.8546
495;0.8693;0.8508
500;0.8686;0.8533
505;0.8688;0.8527
510;0.8688;0.8521
515;0.8689;0.8524
520;0.869;0.8535
525;0.8696;0.8528
530;0.8699;0.8518
535;0.8697;0.8523
540;0.8692;0.8537
545;0.8696;0.8542
550;0.869;0.8538
555;0.8697;0.8534
560;0.8696;0.8528
565;0.8695;0.8545
570;0.8703;0.85
575;0.8698;0.8541
580;0.8697;0.8536
585;0.8703;0.8524
590;0.8706;0.8514
595;0.8703;0.8528
600;0.8704;0.8532
605;0.8711;0.8528
610;0.8713;0.8527
615;0.871;0.8537
620;0.8708;0.8534
625;0.8708;0.853
630;0.8716;0.8515
635;0.8714;0.8518
640;0.8707;0.8528
645;0.871;0.8532
650;0.8716;0.8517
655;0.8714;0.8549
660;0.8714;0.8523
665;0.872;0.852
670;0.8715;0.8531
675;0.8715;0.853
680;0.872;0.8536
685;0.8721;0.8524
690;0.8721;0.8533
695;0.8721;0.8518
700;0.8718;0.855
705;0.8716;0.8544
710;0.8717;0.852
715;0.8723;0.8529
720;0.872;0.853
725;0.8721;0.8533
730;0.8724;0.8551
735;0.8724;0.8528
740;0.8721;0.8537
745;0.8723;0.8521
750;0.8728;0.8525
755;0.8728;0.8499
760;0.873;0.852
765;0.8725;0.8529
770;0.873;0.8515
775;0.8724;0.8537
780;0.8725;0.8528
415;test;0.8419
