NumFeature;TrainingAccuracy;ValidationAccuracy
10;0.8404;0.8383
20;0.8917;0.8913
30;0.9024;0.9004
40;0.9118;0.9108
50;0.918;0.918
60;0.9217;0.9189
70;0.9236;0.9208
80;0.9264;0.9228
90;0.9277;0.9252
100;0.9289;0.9265
110;0.9296;0.9291
120;0.9315;0.9277
130;0.9322;0.9299
140;0.9336;0.9312
150;0.9343;0.9317
160;0.9353;0.9329
170;0.9355;0.9345
180;0.9372;0.9306
190;0.9371;0.935
200;0.9379;0.9351
210;0.9387;0.9345
220;0.9392;0.9354
230;0.9396;0.9349
240;0.9403;0.936
250;0.9405;0.936
260;0.9403;0.938
270;0.9407;0.9382
280;0.9419;0.9359
290;0.9417;0.9373
300;0.942;0.9388
310;0.9421;0.9385
320;0.9429;0.9369
330;0.9432;0.9376
340;0.9434;0.9384
350;0.9442;0.9383
360;0.9443;0.938
370;0.944;0.9409
380;0.9446;0.9387
390;0.9453;0.9376
400;0.9451;0.9391
410;0.9456;0.9392
420;0.9456;0.9399
430;0.9457;0.9397
440;0.9456;0.9406
450;0.9464;0.9389
460;0.9465;0.9396
470;0.9467;0.9388
480;0.9469;0.9405
490;0.9468;0.941
500;0.9472;0.9409
510;0.9471;0.9416
520;0.948;0.9398
530;0.9481;0.9398
540;0.9477;0.9429
550;0.9483;0.941
560;0.9486;0.9411
570;0.9487;0.9417
580;0.9486;0.9412
590;0.9491;0.9405
600;0.9491;0.9414
610;0.9491;0.9414
620;0.9489;0.9424
630;0.9495;0.9418
640;0.9496;0.9416
650;0.95;0.9401
660;0.9495;0.9433
670;0.9502;0.9423
680;0.9503;0.9417
690;0.9506;0.9429
700;0.9506;0.9416
710;0.9507;0.9425
720;0.9504;0.9427
730;0.9508;0.9422
740;0.9508;0.9427
750;0.9512;0.9418
760;0.9516;0.9415
770;0.9513;0.9426
780;0.9512;0.9422
790;0.9515;0.9428
800;0.9516;0.9424
810;0.9517;0.9427
820;0.9521;0.9419
830;0.9522;0.9407
840;0.952;0.9425
850;0.9523;0.9432
860;0.952;0.9431
870;0.9526;0.9431
880;0.9524;0.9421
890;0.9523;0.9442
900;0.9526;0.9428
910;0.9527;0.9441
920;0.9527;0.9446
930;0.9527;0.9446
940;0.9527;0.9441
950;0.953;0.944
960;0.9533;0.9422
970;0.953;0.9431
980;0.953;0.944
990;0.9531;0.9435
1000;0.953;0.9445
1010;0.953;0.9443
1020;0.9531;0.9425
920;test;0.914
