NumFeature;TrainingAccuracy;ValidationAccuracy
10;0.8559;0.8533
20;0.8967;0.8959
30;0.9079;0.9071
40;0.9162;0.9133
50;0.9225;0.9199
60;0.9259;0.9233
70;0.9278;0.9255
80;0.9308;0.9265
90;0.9325;0.9302
100;0.934;0.9304
110;0.9354;0.9311
120;0.9367;0.9309
130;0.9377;0.9329
140;0.9391;0.9335
150;0.9394;0.9359
160;0.9408;0.9345
170;0.9419;0.9351
180;0.9424;0.9356
190;0.9433;0.9384
200;0.9434;0.9383
210;0.9442;0.939
220;0.9449;0.9386
230;0.945;0.9389
240;0.9467;0.9374
250;0.9469;0.9396
260;0.9476;0.9393
270;0.9483;0.9389
280;0.9486;0.94
290;0.9489;0.9405
300;0.9493;0.9408
310;0.9495;0.9418
320;0.9505;0.9404
330;0.9511;0.9421
340;0.9513;0.9405
350;0.9513;0.9411
360;0.9518;0.9422
370;0.9521;0.9427
380;0.9522;0.9422
390;0.9528;0.9427
400;0.9536;0.9426
410;0.9534;0.9437
420;0.9544;0.9409
430;0.9544;0.9423
440;0.9544;0.9428
450;0.9555;0.9429
460;0.956;0.9417
470;0.9555;0.9456
480;0.9561;0.9421
490;0.9563;0.9442
500;0.9566;0.9446
510;0.9568;0.9451
520;0.9571;0.9449
530;0.9577;0.9433
540;0.9581;0.9441
550;0.9586;0.9431
560;0.9587;0.9468
570;0.9587;0.9461
580;0.9595;0.9445
590;0.9595;0.9439
600;0.96;0.9433
610;0.9597;0.9459
620;0.9602;0.9457
630;0.9606;0.9448
640;0.9607;0.9459
650;0.9613;0.9465
660;0.9617;0.9448
670;0.962;0.9451
680;0.9623;0.9449
690;0.9623;0.9474
700;0.9624;0.9449
710;0.9626;0.9451
720;0.9632;0.9459
730;0.9635;0.9446
740;0.9631;0.9466
750;0.9635;0.947
760;0.9643;0.9459
770;0.9642;0.947
780;0.9646;0.945
790;0.9645;0.9469
800;0.9645;0.9462
810;0.9647;0.9476
820;0.9651;0.9472
830;0.9653;0.9462
840;0.9658;0.9464
850;0.9658;0.9473
860;0.966;0.947
