NumFeature;TrainingAccuracy;ValidationAccuracy
5;0.7152;0.7144
10;0.76;0.7634
15;0.7815;0.7777
20;0.7923;0.7884
25;0.7952;0.7903
30;0.8012;0.798
35;0.7978;0.7935
40;0.8059;0.7993
45;0.8037;0.7999
50;0.8051;0.7974
55;0.8054;0.797
60;0.8046;0.7972
65;0.8047;0.7952
70;0.8048;0.7958
75;0.8048;0.7963
80;0.8047;0.7972
85;0.8046;0.7962
90;0.8039;0.7927
95;0.8025;0.7897
100;0.8007;0.7866
105;0.7995;0.789
110;0.8001;0.7855
115;0.799;0.786
120;0.7988;0.7834
125;0.7985;0.7841
130;0.7964;0.7821
135;0.7971;0.7827
140;0.7959;0.7823
145;0.795;0.7808
150;0.795;0.7802
155;0.7947;0.7775
160;0.7933;0.7787
165;0.7938;0.7767
170;0.7934;0.776
175;0.7919;0.7753
180;0.7926;0.7739
185;0.7931;0.7707
190;0.7915;0.7709
195;0.7903;0.7685
200;0.7905;0.7725
205;0.7901;0.7674
210;0.7896;0.7659
215;0.788;0.7637
220;0.7892;0.7626
225;0.7884;0.7639
230;0.7874;0.7628
235;0.7867;0.7623
240;0.7869;0.7625
245;0.7873;0.7587
250;0.786;0.7578
255;0.7848;0.7577
260;0.7865;0.7571
265;0.7848;0.757
270;0.7842;0.7513
275;0.7844;0.753
280;0.783;0.7536
285;0.782;0.7554
290;0.7833;0.7511
295;0.7816;0.7518
300;0.7802;0.7524
305;0.7808;0.7482
310;0.7801;0.7494
315;0.78;0.745
320;0.7797;0.7467
325;0.7786;0.7469
330;0.778;0.7471
335;0.7786;0.7436
340;0.7775;0.7402
345;0.7775;0.7434
350;0.7775;0.7433
355;0.7775;0.739
360;0.777;0.741
365;0.7767;0.7379
370;0.7765;0.7368
375;0.7764;0.7326
380;0.7763;0.7389
385;0.7761;0.7372
390;0.7757;0.7357
395;0.7762;0.7331
400;0.7755;0.7339
405;0.7742;0.7359
410;0.7762;0.7301
415;0.7748;0.7337
420;0.7749;0.7297
425;0.7752;0.7301
430;0.7733;0.7334
435;0.773;0.7313
440;0.7737;0.7281
445;0.7735;0.7274
450;0.7728;0.7318
455;0.772;0.7276
460;0.7726;0.728
465;0.7716;0.728
470;0.7717;0.7286
475;0.7715;0.7284
480;0.7708;0.7273
485;0.7692;0.7279
490;0.7708;0.7266
495;0.7706;0.7303
500;0.7687;0.7298
505;0.769;0.7277
510;0.7678;0.7329
515;0.7688;0.7265
520;0.7682;0.7271
525;0.7686;0.7307
530;0.7665;0.7286
535;0.7653;0.7279
540;0.7666;0.7209
545;0.7653;0.7254
550;0.7642;0.7119
555;0.7635;0.701
560;0.7639;0.6872
565;0.7614;0.6662
570;0.7615;0.6453
575;0.7602;0.6355
580;0.7603;0.614
585;0.7576;0.6035
590;0.7561;0.6068
595;0.7551;0.6058
600;0.7537;0.6028
605;0.7525;0.6044
610;0.751;0.6038
615;0.7477;0.5995
620;0.7461;0.6041
625;0.7407;0.5974
630;0.7377;0.6862
635;0.7358;0.6829
640;0.7351;0.6796
645;0.7335;0.6753
650;0.7304;0.6762
655;0.7286;0.6715
660;0.7241;0.6727
665;0.7225;0.6664
670;0.719;0.6649
675;0.7174;0.6644
680;0.7151;0.6598
685;0.7116;0.6569
690;0.7071;0.6546
695;0.7017;0.6514
700;0.6971;0.6482
705;0.6933;0.6446
710;0.6896;0.6385
715;0.6824;0.6351
720;0.6817;0.6341
725;0.6755;0.629
730;0.6715;0.6222
735;0.6667;0.6212
740;0.6645;0.6134
745;0.6573;0.6117
750;0.6511;0.6042
755;0.6481;0.5999
760;0.6414;0.5948
765;0.6342;0.5843
770;0.6294;0.583
775;0.6248;0.5759
780;0.6171;0.5738
45;test;0.7996
