NumFeature;TrainingAccuracy;ValidationAccuracy
10;0.8461;0.8451
20;0.881;0.8819
30;0.8839;0.8824
40;0.8896;0.8871
50;0.8916;0.8899
60;0.8915;0.8867
70;0.8924;0.8864
80;0.8928;0.8872
90;0.8931;0.8842
100;0.8934;0.8836
110;0.8953;0.8828
120;0.8961;0.886
130;0.8969;0.8847
140;0.8975;0.8845
150;0.8993;0.8828
160;0.9003;0.8828
170;0.9012;0.882
180;0.9022;0.8835
190;0.9031;0.8817
200;0.9039;0.8844
210;0.9053;0.8842
220;0.906;0.8854
230;0.9072;0.8818
240;0.9083;0.8817
250;0.9088;0.884
260;0.9097;0.8821
270;0.9108;0.8809
280;0.9118;0.8812
290;0.9129;0.8833
300;0.9134;0.8817
310;0.914;0.8806
320;0.9147;0.8825
330;0.9157;0.882
340;0.9169;0.8789
350;0.9172;0.8796
360;0.9181;0.8809
370;0.9195;0.8759
380;0.9208;0.878
390;0.9209;0.8779
400;0.9216;0.8782
410;0.9225;0.8753
420;0.9225;0.877
430;0.9238;0.8777
440;0.9247;0.8764
450;0.925;0.877
460;0.9257;0.8761
470;0.9269;0.8764
480;0.9273;0.8778
490;0.9277;0.8731
500;0.9282;0.8739
510;0.929;0.8746
520;0.9291;0.8739
530;0.9299;0.8758
540;0.9305;0.8713
550;0.9306;0.8719
560;0.9319;0.8726
570;0.9321;0.8723
580;0.9326;0.8674
590;0.9329;0.8687
600;0.9334;0.8708
610;0.934;0.8694
620;0.9338;0.8719
630;0.9349;0.8649
640;0.9352;0.8698
650;0.9351;0.8683
660;0.9367;0.8647
670;0.9366;0.8646
680;0.9366;0.8663
690;0.9368;0.8671
700;0.9376;0.8659
710;0.9372;0.8631
720;0.9374;0.8637
730;0.9381;0.8656
740;0.9385;0.8607
750;0.9395;0.8604
760;0.9384;0.8611
770;0.9398;0.8609
780;0.9396;0.862
790;0.9398;0.8598
800;0.9399;0.8592
810;0.9405;0.8601
820;0.9399;0.8562
830;0.9394;0.8615
840;0.9398;0.8566
850;0.9398;0.8572
860;0.9403;0.8578
870;0.9403;0.8549
880;0.9398;0.8535
890;0.9404;0.8536
900;0.9397;0.8498
910;0.9399;0.8493
920;0.9397;0.8506
930;0.9395;0.8501
940;0.9389;0.8498
950;0.9377;0.8469
960;0.9372;0.8487
970;0.9361;0.846
980;0.9339;0.7899
990;0.9255;0.3066
1000;0.921;0.1475
1010;0.921;0.1208
1020;0.9215;0.1078
50;test;0.8725
