NumFeature;TrainingAccuracy;ValidationAccuracy
5;0.8657;0.7489
10;0.946;0.7782
15;0.9613;0.7923
20;0.9662;0.7998
25;0.9693;0.802
30;0.9707;0.8096
35;0.9703;0.8174
40;0.9708;0.8214
45;0.9711;0.8274
50;0.9706;0.8345
55;0.9703;0.8343
60;0.97;0.8395
65;0.9702;0.8408
70;0.9695;0.8488
75;0.9687;0.8505
80;0.9679;0.8531
85;0.968;0.8554
90;0.9667;0.8617
95;0.9664;0.862
100;0.966;0.8639
105;0.9658;0.867
110;0.9653;0.8675
115;0.9651;0.8689
120;0.9643;0.8713
125;0.9639;0.8734
130;0.9633;0.8746
135;0.9629;0.8759
140;0.9623;0.8782
145;0.9621;0.8777
150;0.9616;0.8788
155;0.9611;0.8787
160;0.9605;0.8821
165;0.9593;0.8822
170;0.9593;0.8811
175;0.9589;0.8816
180;0.9581;0.8854
185;0.9576;0.8869
190;0.9573;0.884
195;0.9573;0.8836
200;0.9559;0.8866
205;0.9561;0.888
210;0.9556;0.8876
215;0.9551;0.8889
220;0.9547;0.8887
225;0.9543;0.889
230;0.9537;0.89
235;0.9531;0.8901
240;0.9531;0.8889
245;0.9527;0.8905
250;0.9523;0.8919
255;0.9518;0.8901
260;0.9511;0.8908
265;0.9511;0.8914
270;0.9505;0.8916
275;0.9502;0.891
280;0.949;0.8948
285;0.9492;0.8902
290;0.9486;0.8933
295;0.9486;0.8926
300;0.9481;0.8927
305;0.9475;0.8944
310;0.9473;0.8944
315;0.9471;0.8931
320;0.9463;0.8948
325;0.9462;0.8919
330;0.9458;0.8931
335;0.9457;0.8939
340;0.9451;0.893
345;0.9445;0.8946
350;0.9448;0.8936
355;0.9445;0.8915
360;0.9439;0.8949
365;0.9439;0.8934
370;0.9432;0.8952
375;0.9427;0.8963
380;0.9424;0.8945
385;0.9428;0.8944
390;0.9422;0.8947
395;0.9417;0.8929
400;0.9419;0.8939
405;0.9415;0.894
410;0.9409;0.8941
415;0.9403;0.896
420;0.9404;0.8947
425;0.9402;0.8939
375;test;0.8351
