NumFeature;TrainingAccuracy;ValidationAccuracy
10;0.9608;0.5242
20;0.9707;0.5297
30;0.9728;0.5611
40;0.9737;0.5837
50;0.9733;0.612
60;0.9727;0.6412
70;0.9725;0.6616
80;0.9716;0.6818
90;0.9709;0.6991
100;0.97;0.7203
110;0.9694;0.7318
120;0.9688;0.7448
130;0.9681;0.7554
140;0.9673;0.7643
150;0.9662;0.7736
160;0.9663;0.7821
170;0.9653;0.789
180;0.9644;0.7945
190;0.9639;0.799
200;0.9634;0.8044
210;0.9624;0.8121
220;0.9617;0.8158
230;0.9614;0.8219
240;0.9611;0.8265
250;0.9604;0.8273
260;0.9597;0.8329
270;0.9593;0.8355
280;0.9587;0.8405
290;0.9584;0.8416
300;0.9577;0.845
310;0.9574;0.8447
320;0.957;0.8489
330;0.9563;0.8531
340;0.9559;0.8523
350;0.9556;0.8543
360;0.9551;0.8574
370;0.9543;0.8601
380;0.954;0.8616
390;0.9535;0.8626
400;0.9533;0.863
410;0.953;0.8664
420;0.9524;0.8661
430;0.9524;0.8674
440;0.9515;0.8679
450;0.9516;0.8701
460;0.951;0.8697
470;0.9499;0.8736
480;0.9501;0.873
490;0.9499;0.8761
500;0.9494;0.8745
